A Unicorn,Answer,
Accidently High Fiving a Fist Bump,Answer,
Adolf Hitler,Answer,Historical
Adult supervision,Answer,
Afro-ninja,Answer,Viral Video
Amazon Drone Delivery,Answer,Tech
Anger Management Training,Answer,
Anti-Piracy Ads,Answer,
Assembling IKEA furniture,Answer,
Austin City Limits,Answer,UT
Baseball Games,Answer,
Bean Bag Chairs,Answer,
Being wide awake at 3am.,Answer,
Bitcoin,Answer,Tech
Blue Balls,Answer,Mature
Blue Meth,Answer,"Pop Culture, Mature"
Bottled Water,Answer,
Boxed Wine,Answer,
Celine Dione,Answer,Celebrity
Chestnuts Roasting on an Open Fire,Answer,
Clorox Disinfecting Wipes,Answer,
Coffee,Answer,
College Tuition,Answer,
Condescending Nicknames,Answer,
Conveniance Surcharge,Answer,
Crabs,Answer,
Creeky Staircases,Answer,
Crying infants,Answer,
Cuban Cigars,Answer,
Darrell K Royal Stadium,Answer,UT
Decaffeinated Coffee,Answer,
Decorative pillows,Answer,
Dirty Diapers,Answer,
Dirty Sixth,Answer,UT
Doing The Dishes,Answer,
Don Cheadle,Answer,Celebrity
Drinking in public.,Answer,
Drug Dogs,Answer,
Electric Cars,Answer,Tech
Elementary School Field Trips,Answer,
Expired sour cream,Answer,
Extra Strength Deodorant,Answer,
Fan Death,Answer,
Fireworks,Answer,
Five Dollar Foot Long,Answer,
Flip phones,Answer,
Foreign Films,Answer,
Forgetting your anniversary,Answer,
Free Parking,Answer,
French Cooking,Answer,
Fucking Deer in the Rain,Answer,Mature
Getting enough sleep,Answer,
Getting socks for Christmas,Answer,
Girl Scout Cookies,Answer,
Going Green,Answer,
Google Glasses,Answer,Tech
Government Surveillance,Answer,
Graphene,Answer,Tech
Guadalupe Street,Answer,UT
Happy Hour deals,Answer,
Hormones,Answer,
Incest,Answer,Mature
Indiana Jones,Answer,Pop Culture
Inner city schools,Answer,
James Bond,Answer,Pop Culture
Jar-Jar Binks,Answer,Pop Culture
John Williams,Answer,Pop Culture
Joining the Mile High Club,Answer,Mature
Junk Mail,Answer,
KITTEN MITTENS!,Answer,Pop Culture
Kraft Macaroni and Cheese,Answer,
Las Vegas,Answer,
Last Weekend,Answer,
LeBron James,Answer,"Sports, Contemporary"
Lindsey Lohan's Rehab-Roomate ,Answer,Celebrity
Looking at pictures of cats on the internet.,Answer,
Looking for Your Keys,Answer,
Loud Kids at McDonalds,Answer,
Luigi,Answer,Pop Culture
Mack Brown,Answer,UT
McDonalds Happy Meal Toy,Answer,
Mexican Food,Answer,
Michael Jackson after surgery,Answer,Pop Culture
Michael Jackson before surgery,Answer,Pop Culture
Michael Jordan's Baseball Career,Answer,Sports
Missing your connecting flight,Answer,
Misunderstood,Answer,
Modern Art,Answer,
Movie Theater Concessions,Answer,
My dick,Answer,"Mature, Music"
My favorite toupe,Answer,
My significant other,Answer,
Narwhals,Answer,
NBA finals,Answer,Sports
New York City,Answer,
Oatmean Raisin Cookies,Answer,
Oscar Wilde,Answer,Literature
Pedestrians,Answer,
Peeing out of your butt,Answer,Mature
Pepperidge Farm cookies,Answer,
Performance Enhancing Drugs,Answer,Sports
PETA,Answer,
Phone Camera,Answer,Tech
Platypuses,Answer,
Poorly timed boner,Answer,Mature
Poorly timed laughter,Answer,
Porkchop Sandwhiches!,Answer,Viral Video
President Obama,Answer,Contemporary
Printer Ink,Answer,
Procrastination,Answer,
Promises,Answer,
Public restrooms,Answer,
Public transportation,Answer,
Putting Your Foot In Your Mouth,Answer,
QR Codes,Answer,Tech
Ramen Noodles,Answer,
Romantic comedies,Answer,
Samuel L. Jackson,Answer,Pop Culture
San Francisco,Answer,
Sand,Answer,
Saran Wrap,Answer,
Singing in the Shower,Answer,
Skype,Answer,
Sliced Bread,Answer,
Social Sciences,Answer,
Spell Check,Answer,
Sperm Bank Pornography,Answer,Mature
Sperm Banks,Answer,Mature
Spider-Man,Answer,Pop Culture
Spock,Answer,Pop Culture
Starbucks,Answer,
Strawberry Milk,Answer,
Stress Eating,Answer,
Student Loans,Answer,
SXSW,Answer,UT
Tailgating,Answer,
Talking at the Theater,Answer,
Teenage pregnancy,Answer,Mature
Telemarketers,Answer,
Tequila,Answer,
Texas A&M,Answer,UT
Texting While Driving,Answer,
Thank you notes,Answer,
The Age of Consent,Answer,Mature
The Black Death,Answer,Historical
The Checkout Line at Wal-Mart,Answer,
The Chicago Cubs,Answer,Sports
The Current Job Market,Answer,
The Discovery Channel,Answer,Pop Culture
The Disney Formula,Answer,
The Emergency Room Waiting Area,Answer,
The Empire State Building,Answer,
The Essay Portion of the SAT,Answer,
The Fall of the Berlin Wall,Answer,Historical
The French Revolution,Answer,Historical
The Gutenberg Press,Answer,Historical
The Ides of March,Answer,Historical
The IRS,Answer,
The Legend of Zelda,Answer,Pop Culture
The Manhattan Project,Answer,Historical
The Mongolian Invastion of China,Answer,Historical
The Moon Landing,Answer,Historical
The morning after your 21st birthday,Answer,Mature
The Russian Intervention in Ukraine,Answer,Contemporary
The Silk Road,Answer,Historical
The soup of the day,Answer,
The Spanish Inquisition,Answer,Historical
The Stanley Cup,Answer,Sports
The Syrian Civil War,Answer,Contemporary
The Texes Exes,Answer,UT
The Tour Du France,Answer,Sports
The Trudy's Challange,Answer,UT
The Winter Olympics,Answer,Sports
Top 40 Radio Hits,Answer,
Trampolines,Answer,
Unnecessary Hashtags,Answer,
Vince Young,Answer,UT
Virtual Reality,Answer,Tech
Waffles,Answer,
Waiting for a Website to Load,Answer,
Waiting In Traffic,Answer,
Walk of Shame,Answer,Mature
Walking in on your parents,Answer,Mature
Warm towels,Answer,
Wikipedia,Answer,
Yoga Pants,Answer,
Yoko Ono's singing career,Answer,Pop Culture
Your Bank Account,Answer,
Your Family,Answer,
Your First Crush,Answer,
Your Firstborn Child,Answer,
Your Genitals,Answer,Mature
Your High School Math Teacher,Answer,
Your Hometown,Answer,
Your Job,Answer,
Your Sex Life,Answer,Mature
Your Wallet,Answer,
YouTube ads,Answer,
Your Sexual Preferences,Answer,Mature
"Bed, Bath, and Beyond",Answer,
